section,topic,difficulty,question,option_a,option_b,option_c,option_d,correct_ans
AI & ML,ML,Easy,What does ML stand for?,Machine Learning,Machine Logic,Model Learning,Mathematical Learning,A
AI & ML,ML,Easy,Which type of ML uses labeled data?,Supervised,Unsupervised,Reinforcement,Semi-supervised,A
AI & ML,ML,Easy,Which type of ML uses unlabeled data?,Unsupervised,Supervised,Reinforcement,Transfer,A
AI & ML,ML,Medium,"In reinforcement learning, the agent learns through:",Rewards and penalties,Labeled examples,Clustering,Feature extraction,A
AI & ML,ML,Medium,What is overfitting?,Model performs well on training but poorly on test data,Model performs poorly on all data,Model trains too slowly,Model has too few parameters,A
AI & ML,ML,Medium,What is underfitting?,Model fails to capture patterns,Model memorizes training data,Too many parameters,Trains too fast,A
AI & ML,ML,Hard,What is the bias-variance tradeoff?,Reducing bias increases variance and vice versa,Both should be maximized,Both should be minimized,They are independent,A
AI & ML,ML,Easy,Which metric measures proportion of correct predictions?,Accuracy,Precision,Recall,F1-Score,A
AI & ML,ML,Medium,Precision = ?,TP/(TP+FP),TP/(TP+FN),TN/(TN+FP),FP/(FP+TN),A
AI & ML,ML,Medium,Recall = ?,TP/(TP+FN),TP/(TP+FP),TN/(TN+FN),FN/(FN+TP),A
AI & ML,ML,Medium,F1-Score is:,Harmonic mean of Precision and Recall,Arithmetic mean,Product,Sum,A
AI & ML,ML,Hard,What does AUC-ROC measure?,Model's ability to distinguish classes,Training time,Feature importance,Parameter count,A
AI & ML,ML,Medium,Cross-validation helps in:,Robust model evaluation,Speed improvement,Feature selection only,Dataset reduction,A
AI & ML,ML,Medium,What is k-fold cross-validation?,Data split into k equal parts; each used as validation once,k random splits,Train-test only,Thirds,A
AI & ML,ML,Medium,Purpose of a validation set:,Tune hyperparameters during training,Test final performance,Increase training data,Directly reduce overfitting,A
AI & ML,ML,Medium,L1 regularization is:,Lasso,Ridge,Elastic Net,Dropout,A
AI & ML,ML,Medium,L2 regularization is:,Ridge,Lasso,Elastic Net,Batch Norm,A
AI & ML,ML,Medium,Dropout in neural networks:,Prevents overfitting,Speeds up training,Adds data,Increases complexity,A
AI & ML,ML,Medium,Feature engineering means:,Creating/transforming features to improve model,Selecting best model,Hyperparameter tuning,Data cleaning only,A
AI & ML,ML,Medium,What is a hyperparameter?,Set before training; not learned,Learned from data,Dataset size,Model accuracy,A
AI & ML,ML,Medium,Gradient descent minimizes:,Loss function,Accuracy,Feature count,Data size,A
AI & ML,ML,Medium,Learning rate controls:,Step size in parameter updates,Iteration count,Batch size,Network depth,A
AI & ML,ML,Medium,Batch gradient descent:,Uses entire dataset per update,Uses one sample,Uses mini-batches,Uses no samples,A
AI & ML,ML,Medium,SGD (Stochastic Gradient Descent):,Uses one sample per update,Uses full dataset,Uses batches,Uses half data,A
AI & ML,ML,Easy,Mini-batch GD uses:,A subset per update,Full dataset,One sample,Half data,A
AI & ML,ML,Hard,Vanishing gradient problem:,Gradients too small to update early layers,Gradients too large,Model fails to converge,Accuracy drops,A
AI & ML,ML,Medium,Most common hidden layer activation in deep nets:,ReLU,Sigmoid,Tanh,Softmax,A
AI & ML,ML,Medium,Softmax used in output for:,Multiclass classification,Binary classification,Regression,Clustering,A
AI & ML,ML,Medium,KNN default distance metric:,Euclidean,Manhattan,Cosine,Minkowski,A
AI & ML,ML,Easy,'K' in KNN represents:,Number of nearest neighbors,Number of features,Number of clusters,Kernel parameter,A
AI & ML,ML,Hard,KNN is an example of:,Lazy learning,Eager learning,Deep learning,Reinforcement learning,A
AI & ML,ML,Medium,SVM finds:,Optimal hyperplane maximizing margin,Best cluster centroids,Decision tree splits,Regression line,A
AI & ML,ML,Hard,Kernel trick in SVM:,Non-linear classification in transformed space,Faster training,Larger margins,Less memory,A
AI & ML,ML,Hard,Naive Bayes assumes:,Features conditionally independent given class,Features correlated,Normal distribution,Binary features,A
AI & ML,ML,Easy,Random Forest is ensemble of:,Decision Trees,SVMs,Neural Networks,K-Means,A
AI & ML,ML,Medium,Boosting trains models to:,Correct errors of previous models,Extract features,Create clusters,Label data,A
AI & ML,ML,Easy,XGBoost stands for:,Extreme Gradient Boosting,Extended Gradient Boosting,Extra Gradient Boosting,Exponential Gradient Boosting,A
AI & ML,ML,Hard,Bagging reduces:,Variance,Bias,Training time,Overfitting only,A
AI & ML,ML,Easy,Confusion matrix summarizes:,Classification performance via TP/FP/TN/FN,Feature importance,Training loss,Epochs,A
AI & ML,ML,Hard,False Positive (FP) is also called:,Type I error,Type II error,True error,System error,A
AI & ML,ML,Hard,False Negative (FN) is also called:,Type II error,Type I error,False error,Zero error,A
AI & ML,ML,Hard,Best metric for imbalanced datasets:,F1-Score or AUC-ROC,Accuracy,MSE,R²,A
AI & ML,ML,Easy,Data normalization:,Scales features to same range,Removes missing values,Selects features,Encodes labels,A
AI & ML,ML,Easy,Min-Max scaling range:,"[0, 1]","[-1, 1]","[0, ∞)","N(0,1)",A
AI & ML,ML,Medium,Z-score standardization produces:,"Mean 0, std 1","Range [0,1]","Range [-1,1]",Max 1,A
AI & ML,ML,Hard,Isolation Forest is used for:,Anomaly detection,Classification,Regression,Clustering,A
AI & ML,ML,Medium,Transfer learning:,Reuses pre-trained model for new tasks,Trains from scratch,Clusters data,Augments data,A
